file_number,category,doc_type,order_date,fsa,url,extraction_method,all_amounts_found,fee_amounts_found,primary_amount,amount_type,matched_context,notes
LTB-L-107329-25,L1,ExParte Order,2026-02-25,N8Y,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000udqRaIAI/LTB-L-107329-25_EX.pdf,text,"[845.48, 464.48, 186.0, 195.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 75.48]","[464.48, 186.0, 195.0]",845.48,arrears,"it is ordered that:   1. The Tenant shall pay the Landlord >>>$845.48<<<, which includes:   o $464.48 for arrears owing up to February 28, 2026,  o $186",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-093481-25,L1,Order,2026-01-26,M3A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000siatVIAQ/LTB-L-093481-25-HR - signed.pdf,text,"[2266.79, 74.52, 2266.79, 1800.0, 7033.95, 186.0, 2266.79, 2.74, 7219.95, 9486.74, 4248.55, 74.52, 8833.95, 186.0, 1800.0, 7219.95, 11100.74, 186.0, 1800.0, 9486.74, 8132.08, 186.0, 1800.0, 2266.79, 2.74, 4248.55, 50000.0, 74.52]","[8833.95, 186.0, 11100.74, 186.0, 8132.08, 186.0]",9486.74,arrears,"ary 31, 2026. See Schedule 1  for the calculation of the amount owing.   OR  •  >>>$9,486.74<<< if the payment is made on or before February 6, 2026. See Schedule 1  for the c",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002624-26,L1,Order,2026-04-28,N6B,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yKOtFIAW/LTB-L-002624-26-HR.pdf,text,"[2100.0, 69.04, 2100.0, 4200.0, 2600.81, 186.0, 2100.0, 17.88, 4886.81, 6986.81, 326.43, 69.04, 8900.81, 186.0, 4200.0, 4886.81, 11000.81, 186.0, 4200.0, 6986.81, 5805.45, 186.0, 4200.0, 2100.0, 17.88, 50000.0, 69.04]","[326.43, 8900.81, 186.0, 11000.81, 186.0, 5805.45, 186.0]",6986.81,arrears,"ril 30, 2026. See Schedule 1 for  the calculation of the amount owing.   OR  •  >>>$6,986.81<<< if the payment is made on or before May 9, 2026. See Schedule 1 for the  calcul",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002419-26,L1,Order,2026-04-09,L3T,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xFdIWIA0/LTB-L-002419-26-Signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-008239-26,L1,ExParte Order,2026-04-08,L8H,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xIARyIAO/LTB-L-008239-26-EX-signed.pdf,ocr,[],[],,,,no dollar amount found
LTB-L-019028-26,L1,Order,2026-05-21,K8V,"https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zqOEXIA2/LTB-L-019028-26-HR May 21, 2026.pdf",text,"[3221.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 269.0, 262.0]",[],3221.0,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$3,221.00<<< for arrears of rent up to May 31, 2026, and  costs.  2. The Tenant shall pay to",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-020600-26,L1,ExParte Order,2026-05-11,M2R,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zWgNZIA0/LTB-L-020600-26-EX.pdf,text,"[1000.0, 186.0, 4186.0]",[],1000.0,stated_total,"the Landlord paid for filing the application at the LTB.  Example: the rent is >>>$1,000.00<<< per month for a monthly tenancy and the tenant pays the rent on the 1st day of","no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-100307-25,L1,Order,2026-02-19,L6S,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000uAl73IAC/LTB-L-100307-25-HR.pdf,text,"[1463.0, 48.1, 1463.0, 2600.0, 4230.09, 186.0, 137.72, 3.77, 4416.09, 5879.09, 3292.6, 48.1, 6830.09, 186.0, 2600.0, 4416.09, 8293.09, 186.0, 2600.0, 5879.09, 5848.09, 186.0, 2600.0, 137.72, 3.77, 3292.6, 50000.0, 48.1]","[6830.09, 186.0, 8293.09, 186.0, 5848.09, 186.0]",5879.09,arrears,"ary 28, 2026. See Schedule 1  for the calculation of the amount owing.   OR    >>>$5,879.09<<< if the payment is made on or before March 31, 2026. See Schedule 1 for  the cal",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-108311-25,L1,Order,2026-03-09,L1W,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000v82aGIAQ/LTB-L-108311-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-L-002153-26,L1,Order,2026-03-24,L5A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vyB9aIAE/LTB-L-002153-26_L1_2026_03_24 - cert.pdf,text,"[1900.7, 1900.7]",[1900.7],1900.7,arrears,"the Tenants vacated the rental unit.  2. The Tenants shall pay to the Landlord >>>$1,900.70<<< for arrears of rent up to February 28,  2026, and costs.       File Number: LTB",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-109487-25,L2,Order,2026-02-13,L6Y,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tzplyIAA/LTB-L-0109487-25-sign.pdf,text,[186.0],[186.0],,,,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-013409-26,L2,Order,2026-05-22,M3K,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zwgocIAA/LTB-L-013409-26_HR.pdf,text,"[1917.34, 1782.58, 427.14, 935.08, 935.08, 847.5, 186.0, 1782.58, 186.0]",[186.0],1782.58,other,"ants meet the  conditions set out below.  2. The Tenants shall pay the Landlord >>>$1,782.58<<< by June 30, 2026.   3. The Tenants shall not smoke in the rental unit or 3 mete","found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-002790-26,L2,Order,2026-03-06,L9T,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000uv93BIAQ/LTB-L-002790-26-HR - March 6 2026 cert.pdf,text,"[100000.0, 15000.0, 186.0, 186.0]",[186.0],,,,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-071581-25,L2,Order,2026-03-16,M8W,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vTKSPIA4/LTB-L-071581-25_HR.pdf,text,"[3000.0, 186.0]",[186.0],,,,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
